Date,Consumption,Atypical_Day,Religious Holidays,Consumption_t-1,Consumption_t-2,Consumption_t-3,Consumption_t-4,Consumption_t-5,Consumption_t-6,Consumption_t-7,Consumption_t-8,Consumption_t-9,Consumption_t-10,Consumption_t-11,Consumption_t-12,Consumption_t-13,Consumption_t-14
2019-08-27,933874.68,0.0,0.0,945699.84,925940.33,799815.16,877759.3800000001,907222.41,901403.4,891718.01,891049.7400000001,853884.3499999999,747993.0499999998,814721.5499999998,851037.3099999998,842426.7100000002,722817.74
2019-08-28,917111.11,0.0,0.0,933874.68,945699.84,925940.33,799815.16,877759.3800000001,907222.41,901403.4,891718.01,891049.7400000001,853884.3499999999,747993.0499999998,814721.5499999998,851037.3099999998,842426.7100000002
2019-08-29,826214.71,0.0,0.0,917111.11,933874.68,945699.84,925940.33,799815.16,877759.3800000001,907222.41,901403.4,891718.01,891049.7400000001,853884.3499999999,747993.0499999998,814721.5499999998,851037.3099999998
2019-08-30,801799.5099999999,1.0,0.0,826214.71,917111.11,933874.68,945699.84,925940.33,799815.16,877759.3800000001,907222.41,901403.4,891718.01,891049.7400000001,853884.3499999999,747993.0499999998,814721.5499999998
2019-08-31,757774.69,1.0,0.0,801799.5099999999,826214.71,917111.11,933874.68,945699.84,925940.33,799815.16,877759.3800000001,907222.41,901403.4,891718.01,891049.7400000001,853884.3499999999,747993.0499999998
2019-09-01,881451.3400000002,1.0,0.0,757774.69,801799.5099999999,826214.71,917111.11,933874.68,945699.84,925940.33,799815.16,877759.3800000001,907222.41,901403.4,891718.01,891049.7400000001,853884.3499999999
2019-09-02,901080.38,0.0,0.0,881451.3400000002,757774.69,801799.5099999999,826214.71,917111.11,933874.68,945699.84,925940.33,799815.16,877759.3800000001,907222.41,901403.4,891718.01,891049.7400000001
2019-09-03,899621.0399999998,0.0,0.0,901080.38,881451.3400000002,757774.69,801799.5099999999,826214.71,917111.11,933874.68,945699.84,925940.33,799815.16,877759.3800000001,907222.41,901403.4,891718.01
2019-09-04,888977.7999999998,0.0,0.0,899621.0399999998,901080.38,881451.3400000002,757774.69,801799.5099999999,826214.71,917111.11,933874.68,945699.84,925940.33,799815.16,877759.3800000001,907222.41,901403.4
2019-09-05,877058.8400000002,0.0,0.0,888977.7999999998,899621.0399999998,901080.38,881451.3400000002,757774.69,801799.5099999999,826214.71,917111.11,933874.68,945699.84,925940.33,799815.16,877759.3800000001,907222.41
2019-09-06,827973.94,0.0,0.0,877058.8400000002,888977.7999999998,899621.0399999998,901080.38,881451.3400000002,757774.69,801799.5099999999,826214.71,917111.11,933874.68,945699.84,925940.33,799815.16,877759.3800000001
2019-09-07,738929.51,1.0,0.0,827973.94,877058.8400000002,888977.7999999998,899621.0399999998,901080.38,881451.3400000002,757774.69,801799.5099999999,826214.71,917111.11,933874.68,945699.84,925940.33,799815.16
2019-09-08,839070.9100000001,1.0,0.0,738929.51,827973.94,877058.8400000002,888977.7999999998,899621.0399999998,901080.38,881451.3400000002,757774.69,801799.5099999999,826214.71,917111.11,933874.68,945699.84,925940.33
2019-09-09,860690.3499999999,0.0,0.0,839070.9100000001,738929.51,827973.94,877058.8400000002,888977.7999999998,899621.0399999998,901080.38,881451.3400000002,757774.69,801799.5099999999,826214.71,917111.11,933874.68,945699.84
2019-09-10,865647.5099999999,0.0,0.0,860690.3499999999,839070.9100000001,738929.51,827973.94,877058.8400000002,888977.7999999998,899621.0399999998,901080.38,881451.3400000002,757774.69,801799.5099999999,826214.71,917111.11,933874.68
2019-09-11,863468.19,0.0,0.0,865647.5099999999,860690.3499999999,839070.9100000001,738929.51,827973.94,877058.8400000002,888977.7999999998,899621.0399999998,901080.38,881451.3400000002,757774.69,801799.5099999999,826214.71,917111.11
2019-09-12,845986.1100000001,0.0,0.0,863468.19,865647.5099999999,860690.3499999999,839070.9100000001,738929.51,827973.94,877058.8400000002,888977.7999999998,899621.0399999998,901080.38,881451.3400000002,757774.69,801799.5099999999,826214.71
2019-09-13,798045.1299999999,0.0,0.0,845986.1100000001,863468.19,865647.5099999999,860690.3499999999,839070.9100000001,738929.51,827973.94,877058.8400000002,888977.7999999998,899621.0399999998,901080.38,881451.3400000002,757774.69,801799.5099999999
2019-09-14,705284.2,1.0,0.0,798045.1299999999,845986.1100000001,863468.19,865647.5099999999,860690.3499999999,839070.9100000001,738929.51,827973.94,877058.8400000002,888977.7999999998,899621.0399999998,901080.38,881451.3400000002,757774.69
2019-09-15,807066.26,1.0,0.0,705284.2,798045.1299999999,845986.1100000001,863468.19,865647.5099999999,860690.3499999999,839070.9100000001,738929.51,827973.94,877058.8400000002,888977.7999999998,899621.0399999998,901080.38,881451.3400000002
2019-09-16,819044.06,0.0,0.0,807066.26,705284.2,798045.1299999999,845986.1100000001,863468.19,865647.5099999999,860690.3499999999,839070.9100000001,738929.51,827973.94,877058.8400000002,888977.7999999998,899621.0399999998,901080.38
2019-09-17,820813.43,0.0,0.0,819044.06,807066.26,705284.2,798045.1299999999,845986.1100000001,863468.19,865647.5099999999,860690.3499999999,839070.9100000001,738929.51,827973.94,877058.8400000002,888977.7999999998,899621.0399999998
2019-09-18,820973.2000000002,0.0,0.0,820813.43,819044.06,807066.26,705284.2,798045.1299999999,845986.1100000001,863468.19,865647.5099999999,860690.3499999999,839070.9100000001,738929.51,827973.94,877058.8400000002,888977.7999999998
2019-09-19,804155.73,0.0,0.0,820973.2000000002,820813.43,819044.06,807066.26,705284.2,798045.1299999999,845986.1100000001,863468.19,865647.5099999999,860690.3499999999,839070.9100000001,738929.51,827973.94,877058.8400000002
2019-09-20,763560.69,0.0,0.0,804155.73,820973.2000000002,820813.43,819044.06,807066.26,705284.2,798045.1299999999,845986.1100000001,863468.19,865647.5099999999,860690.3499999999,839070.9100000001,738929.51,827973.94
2019-09-21,662408.4599999997,1.0,0.0,763560.69,804155.73,820973.2000000002,820813.43,819044.06,807066.26,705284.2,798045.1299999999,845986.1100000001,863468.19,865647.5099999999,860690.3499999999,839070.9100000001,738929.51
